"session_id","route_id","Fecha","start_time","sport","sport_raw","source","vt1_used","vt2_used","zones_source","duration_min","moving_min","distance_km","elev_gain_m","elev_loss_m","elev_density","calories","hr_mean","hr_max","hr_p95","average_cadence","hrr_drop_bpm","average_weather_temp","z1_pct","z2_pct","z3_pct","z1_total_min","z2_total_min","z3_total_min","work_n_blocks","work_total_min","work_longest_min","work_avg_z3_pct","work_blocks_min","work_blocks_z3pct","late_intensity","cardiac_drift_pct","mechanics_source","polar_sport_raw","polar_start_delta_min","polar_duration_gap_min","run_power_available","run_power_mean","run_power_max","run_power_p95","speed_first_half","speed_second_half","cadence_first_half","cadence_second_half","polar_speed_available","polar_cadence_available","run_power_first_half","run_power_second_half","durability_applicable","speed_ratio","power_ratio","load","trimp","rpe","feel","icu_weighted_avg_watts","icu_joules_above_ftp","icu_max_wbal_depletion","decoupling","intensity_category","effort_vs_recent","effort_vs_anchor","session_group","notes_raw","rpe_present","notes_present","pipeline_version","stream_dt_est"
"i81533155","","2025-06-04","07:22","road_run","VirtualRun","intervals","143","161","icu","6.3","6.3","0.0","","","","8.0","47.0","59.0","55.0","","","","100.0","0.0","0.0","6.3","0.0","0.0","0","0.0","0.0","0","","","0.0","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","0.0","0.0","","","","","","","easy","below","below","endurance_easy","","0","0","v3.11","0.997"
"i81611029","5857014.0","2025-06-04","15:33","trail_run","TrailRun","intervals","143","161","icu","100.7","100.2","12.46","330.0","332.0","26.5","996.0","131.0","154.0","144.0","77.44252","","28.492214","94.7","5.3","0.0","94.7","5.2","0.0","0","0.0","0.0","0","","","0.0","0.5","intervals_fit","running trail","","","0.0","","","","7.55","7.77","77.3","77.5","1.0","1.0","","","1","1.029","","73.0","131.70844","","","","","","","easy","above","above","endurance_easy","","0","0","v3.11","1.0"
"i81766426","","2025-06-05","17:19","strength","WeightTraining","intervals","142","163","icu","54.5","54.5","0.0","","","","101.0","75.0","108.0","","","","","100.0","0.0","0.0","3.4","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","0.0","8.571064","","","","","","","NA","below","below","strength_unknown","","0","0","v3.11",""
"i82500461","","2025-06-10","15:39","road_run","VirtualRun","intervals","143","161","icu","91.3","83.7","9.2","","","","908.0","132.0","151.0","144.0","69.71369","","","94.7","5.3","0.0","76.9","4.3","0.0","0","0.0","0.0","0","","","0.0","10.6","intervals_fit","running indoor_running","","","0.0","","","","6.95","6.7","69.9","69.6","1.0","1.0","","","1","0.964","","63.0","108.503426","","","","","","","easy","above","above","endurance_easy","","0","0","v3.11","1.0"
"i82663725","","2025-06-11","15:10","strength","WeightTraining","intervals","142","163","icu","71.2","71.2","0.0","","","","279.0","89.0","112.0","","","","","100.0","0.0","0.0","71.2","0.0","0.0","0","0.0","0.0","0","","","","","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","14.0","24.805916","","","","","","","NA","typical","typical","strength_unknown","","0","0","v3.11",""
"i82814165","","2025-06-12","15:38","swim","Swim","intervals","134","149","icu","60.1","59.5","1.8","","","","478.0","115.0","145.0","127.0","33.0","","","99.3","0.7","0.0","59.1","0.4","0.0","0","0.0","0.0","0","","","0.0","5.2","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","26.0","46.066315","","","","","","","easy","typical","typical","endurance_easy","","0","0","v3.11","1.0"
"i82946944","","2025-06-13","14:05","swim","Swim","intervals","134","149","icu","62.9","59.6","1.88","","","","482.0","116.0","146.0","136.0","31.0","","","93.6","6.4","0.0","55.8","3.8","0.0","1","3.6","3.6","0","3.6","0","0.0","1.1","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","29.0","49.04169","","","","","","","easy","typical","typical","endurance_easy","","0","0","v3.11","1.04"
"i83035705","5857016.0","2025-06-14","07:56","trail_run","TrailRun","intervals","143","161","icu","34.2","32.4","3.45","132.0","80.0","38.3","315.0","125.0","170.0","163.0","76.763535","","22.634617","84.2","7.8","8.0","27.1","2.5","2.6","0","0.0","0.0","0","","","0.0","0.7","intervals_fit","running trail","","","0.0","","","","6.61","6.29","77.8","75.7","1.0","1.0","","","0","0.952","","22.0","34.63292","","","","","","","easy","below","typical","endurance_easy","","0","0","v3.11","1.0"
"i83035694","5857017.0","2025-06-14","08:30","trail_run","TrailRun","intervals","143","161","icu","65.7","65.2","6.59","196.0","242.0","29.7","627.0","129.0","179.0","163.0","72.04971","","24.304163","74.8","17.3","7.9","48.5","11.2","5.1","1","3.0","3.0","7","3.0","7","1.0","37.8","intervals_fit","running trail","","","0.0","","","","6.88","5.44","77.1","67.0","1.0","1.0","","","0","0.791","","49.0","77.91624","","","","","","","finish_strong","typical","typical","endurance_easy","","0","0","v3.11","1.0"
"i83306310","5857018.0","2025-06-16","07:11","bike","Ride","intervals","139","156","icu","94.7","91.5","26.35","586.0","586.0","22.2","774.0","119.0","143.0","139.0","84.06665","","20.80539","96.3","3.7","0.0","87.9","3.4","0.0","1","3.5","3.5","0","3.5","0","0.0","-7.1","","","","","0.0","","","","","","","","0.0","0.0","","","0","","","46.0","74.08109","","","","","","","easy","typical","typical","endurance_easy","","0","0","v3.11","1.0"
