Fecha,ssm_input_ready,ssm_warmup_complete,ssm_recovery_state,ssm_baseline_state,ssm_fatigue_state,sleep_recovery_index,sleep_recovery_index_var,sleep_recovery_index_sd,sleep_obs_missing,sleep_input_quality,sleep_obs_var_multiplier,sleep_innovation,ssm_state_lo,ssm_state_hi,ssm_state_var,ssm_state_sd,ssm_baseline_state_var,ssm_fatigue_state_var,ssm_baseline_state_sd,ssm_fatigue_state_sd,ssm_obs_missing,ssm_load_missing,ssm_load_context_mode,ssm_proc_var_multiplier,ssm_input_quality,ssm_obs_var_multiplier,ssm_innovation,control_rolling_hrv_7d,control_load_7d
2025-07-04,True,True,3.903930859331274,4.080309850868928,0.17637899153765405,,,,True,suppressed,1.0,,3.599442314231725,4.208419404430823,0.009285084206000951,0.09635914178738285,0.00792246862694724,0.009546136637138502,0.08900825033078248,0.09770433274496328,False,False,session_recorded,1.0,clean,1.0,0.13698713885141833,3.9316711887075586,596.0
2025-07-05,True,True,3.829799704417807,4.0506576055014145,0.22085790108360748,,,,True,suppressed,1.0,,3.527121601202224,4.13247780763339,0.009174997107705963,0.09578620520568691,0.00784708779381797,0.009524097009224413,0.08858378967857478,0.09759148020818423,False,False,session_recorded,1.0,clean,1.0,-0.3062246125229593,3.910605985252259,636.0
2025-07-06,True,True,3.8672894351266964,4.072532700167144,0.2052432650404472,,,,True,suppressed,1.25,,3.565582726193944,4.168996144059449,0.009116200399289192,0.09547879554796024,0.007787872332658136,0.009512126655954054,0.0882489225580581,0.09753013204109823,False,False,session_recorded,1.0,clean,1.0,0.21306452582294444,3.944417901677039,442.0
2025-07-07,True,True,3.9024455739406667,4.103003962821025,0.20055838888035832,,,,True,suppressed,1.15,,3.5951989606927,4.209692187188633,0.009454055279376927,0.09723196634531736,0.007821468300899193,0.009902875111586837,0.08843906546826008,0.09951319064117499,False,False,rest_day_no_session,1.15,clean,1.0,0.28427060120788017,3.986074639855896,
2025-07-08,True,True,3.9612572811036624,4.111866933941855,0.15060965283819286,,,,True,suppressed,1.25,,3.6577358167714076,4.264778745435917,0.00922619748068566,0.09605309719465406,0.007775025974505786,0.009721703754291253,0.0881761077305286,0.0985987005710078,False,False,session_recorded,1.0,clean,1.0,0.140224031043096,3.997049049999397,357.0
2025-07-09,True,True,3.8938760278268565,4.1183742327393205,0.22449820491246394,,,,True,suppressed,1.15,,3.5496323810346797,4.238119674619034,0.011867952413859052,0.10894013224638133,0.008168524576114876,0.01062393096247543,0.09037989033028794,0.10307245491631326,True,False,session_recorded,1.0,suppressed,2.5,,3.924658170852546,457.0
2025-07-10,True,True,3.882013503688048,4.115698080572632,0.2336845768845845,,,,True,suppressed,1.0,,3.5605772051242406,4.203449802251855,0.010347460217836217,0.10172246663267764,0.007952881172707253,0.009963196699751514,0.08917892785129934,0.09981581387611642,False,False,session_recorded,1.0,clean,1.0,-0.02540752611021757,3.9096203522913475,439.0
2025-07-11,True,True,3.920515973409133,4.124027240572177,0.20351126716304427,,,,True,suppressed,1.15,,3.6098627830800742,4.231169163738191,0.009664859938841253,0.09831001952416271,0.007828866309066153,0.009683924998503896,0.08848088103690058,0.09840693572357538,False,False,session_recorded,1.0,clean,1.0,0.10461427950817326,3.9083099591703863,415.0
2025-07-12,True,True,3.874497082686907,4.1115841673628495,0.23708708467594272,,,,True,suppressed,1.0,,3.563133221626555,4.185860943747259,0.00970913046140046,0.09853492001011854,0.007831039740581153,0.009958320081544413,0.08849316211200249,0.09979138280204565,False,False,rest_day_no_session,1.15,clean,1.0,-0.1344789799153343,3.933782077339493,
2025-07-13,True,True,3.8880119937275945,4.100328281630061,0.21231628790246634,,,,True,suppressed,1.35,,3.5824929759162125,4.193531011538976,0.009348037091861265,0.09668524753994927,0.007769592993227751,0.009731896763589612,0.08814529478779767,0.09865037639862106,False,False,session_recorded,1.0,clean,1.0,-0.07525515581689701,3.9051389595880908,371.0
