Fecha,polar_sleep_duration_min,polar_sleep_span_min,polar_deep_pct,polar_rem_pct,polar_efficiency_pct,polar_continuity,polar_continuity_index,polar_interruptions_long,polar_interruptions_total,polar_sleep_score,polar_night_rmssd,polar_night_rri,polar_night_resp,sleep_dur_p10,sleep_dur_p90,sleep_int_p90
2025-08-21,539.0,585.5,,,92.05807002561912,3.0,3.3,7.0,28.0,,,,,363.0,494.70000000000005,8.0
2025-08-22,420.5,445.0,,,94.49438202247192,3.0,3.1,5.0,26.0,,,,,363.0,494.70000000000005,8.0
2025-08-23,420.5,449.5,,,93.5483870967742,2.0,2.7,4.0,33.0,,,,,363.0,494.70000000000005,8.0
2025-08-24,433.5,473.0,,,91.64904862579282,2.0,2.7,6.0,32.0,,,,,363.0,494.70000000000005,8.0
2025-08-25,236.5,248.0,,,95.36290322580643,3.0,3.7,0.0,15.0,,,,,363.0,494.70000000000005,8.0
2025-08-26,371.5,404.0,,,91.95544554455446,2.0,2.6,5.0,29.0,,,,,363.0,494.70000000000005,8.0
2025-08-27,371.5,391.5,,,94.89144316730524,2.0,2.9,2.0,23.0,,,,,363.0,494.70000000000005,8.0
2025-08-28,353.5,376.5,,,93.89110225763612,3.0,3.5,2.0,18.0,,,,,363.0,494.70000000000005,8.0
2025-08-29,417.0,440.0,,,94.77272727272728,3.0,3.7,6.0,18.0,,,,,363.0,494.70000000000005,8.0
2025-08-30,384.0,400.0,,,96.0,3.0,3.9,1.0,21.0,,,,,363.0,494.70000000000005,8.0
2025-08-31,,,,,,,,,,,,,,363.0,494.70000000000005,8.0
2025-09-01,409.0,425.0,,,96.23529411764706,3.0,3.8,1.0,20.0,,,,,363.0,494.70000000000005,8.0
2025-09-02,443.5,473.5,,,93.66420274551214,2.0,2.7,3.0,32.0,,,,,363.0,494.70000000000005,8.0
2025-09-03,442.5,460.5,,,96.0912052117264,3.0,3.5,1.0,25.0,,,,,363.0,494.70000000000005,8.0
2025-09-04,413.5,438.0,,,94.40639269406392,3.0,3.2,3.0,26.0,,,,,363.0,494.70000000000005,8.0
2025-09-05,456.5,480.0,,,95.10416666666669,2.0,2.8,2.0,28.0,,,,,363.0,494.70000000000005,8.0
2025-09-06,396.0,416.0,,,95.1923076923077,2.0,2.8,1.0,26.0,,,,,363.0,494.70000000000005,8.0
2025-09-07,388.0,409.0,,,94.86552567237165,3.0,3.4,3.0,23.0,,,,,363.0,494.70000000000005,8.0
2025-09-08,396.5,427.0,,,92.85714285714286,2.0,2.4,4.0,32.0,,,,,363.0,494.70000000000005,8.0
2025-09-09,428.5,452.5,,,94.69613259668508,2.0,2.8,2.0,26.0,,,,,363.0,494.70000000000005,8.0
2025-09-10,486.5,511.5,,,95.1124144672532,3.0,3.7,5.0,27.0,,,,,363.0,494.70000000000005,8.0
2025-09-11,338.0,352.5,,,95.88652482269504,4.0,4.4,2.0,17.0,,,,,363.0,494.70000000000005,8.0
2025-09-12,419.0,436.0,,,96.10091743119266,3.0,3.3,1.0,23.0,,,,,363.0,494.70000000000005,8.0
2025-09-13,537.5,574.0,,,93.6411149825784,2.0,2.7,5.0,39.0,,,,,363.0,494.70000000000005,8.0
2025-09-14,410.5,432.5,,,94.91329479768788,3.0,3.0,2.0,26.0,,,,,363.0,494.70000000000005,8.0
2025-09-15,430.5,456.0,,,94.4078947368421,2.0,2.9,2.0,32.0,,,,,363.0,494.70000000000005,8.0
2025-09-16,407.0,433.0,,,93.99538106235563,2.0,2.6,1.0,32.0,,,,,363.0,494.70000000000005,8.0
2025-09-17,335.5,354.0,,,94.77401129943502,2.0,2.8,2.0,22.0,,,,,363.0,494.70000000000005,8.0
2025-09-18,423.0,449.5,,,94.10456062291436,2.0,2.6,1.0,35.0,,,,,363.0,494.70000000000005,8.0
2025-09-19,413.0,437.5,,,94.4,3.0,3.7,4.0,24.0,,,,,363.0,494.70000000000005,8.0
2025-09-20,377.5,404.5,,,93.32509270704573,2.0,2.9,3.0,24.0,,,,,363.0,494.70000000000005,8.0
2025-09-21,428.5,455.0,,,94.17582417582418,2.0,2.9,5.0,29.0,,,,,363.0,494.70000000000005,8.0
2025-09-22,349.0,391.0,,,89.25831202046037,3.0,3.1,4.0,18.0,,,,,363.0,494.70000000000005,8.0
2025-09-23,,,,,,,,,,,,,,363.0,494.70000000000005,8.0
2025-09-24,419.5,473.0,,,88.68921775898521,2.0,2.2,12.0,36.0,,,,,363.0,494.70000000000005,8.0
2025-09-25,361.0,380.0,,,95.0,3.0,3.3,1.0,23.0,,,,,363.0,494.70000000000005,8.0
2025-09-26,412.0,438.5,,,93.95667046750285,2.0,2.5,2.0,28.0,,,,,363.0,494.70000000000005,8.0
2025-09-27,482.5,514.5,,,93.78036929057338,2.0,2.6,3.0,37.0,,,,,363.0,494.70000000000005,8.0
2025-09-28,409.0,439.0,,,93.16628701594531,3.0,3.2,2.0,28.0,,,,,363.0,494.70000000000005,8.0
2025-09-29,478.5,516.5,,,92.64278799612778,2.0,2.8,6.0,32.0,,,,,363.0,494.70000000000005,8.0
2025-09-30,475.0,494.5,,,96.05662285136502,3.0,3.6,1.0,28.0,,,,,363.0,494.70000000000005,8.0
2025-10-01,492.0,525.5,,,93.62511893434824,2.0,2.6,5.0,34.0,,,,,363.0,494.70000000000005,8.0
2025-10-02,,,,,,,,,,,,,,363.0,494.70000000000005,8.0
2025-10-03,456.5,484.0,,,94.31818181818184,3.0,3.8,6.0,24.0,,,,,363.0,494.70000000000005,8.0
2025-10-04,417.5,465.0,,,89.78494623655914,2.0,2.4,10.0,31.0,,,,,363.0,494.70000000000005,8.0
2025-10-05,399.0,426.5,,,93.55216881594372,2.0,2.0,3.0,30.0,,,,,363.0,494.70000000000005,8.0
2025-10-06,406.5,440.0,,,92.38636363636364,3.0,3.3,5.0,25.0,,,,,363.0,494.70000000000005,8.0
2025-10-07,392.5,417.0,,,94.12470023980816,2.0,2.8,2.0,27.0,,,,,363.0,494.70000000000005,8.0
2025-10-08,,,,,,,,,,,,,,363.0,494.70000000000005,8.0
